,total_power
360,79374.78999999998
361,79400.96060000002
362,77893.6934
363,77205.44859999999
364,76138.14550000001
365,75285.37989999999
366,75010.88280000002
367,72461.1468
368,74006.7828
369,73066.0532
370,74791.17339999999
371,77337.8476
372,77698.37990000001
373,78096.3491
374,79719.72080000001
375,79533.3704
376,79817.19640000002
377,76292.82319999998
378,78783.65299999998
379,79814.81999999999
380,80396.7465
381,83422.0671
382,82722.7499
383,79359.381
384,82397.99379999998
385,86565.00449999998
386,86340.00610000001
387,87096.46610000002
388,86261.4834
389,87405.25359999998
390,83421.26259999999
391,81492.4768
392,81008.94239999999
393,80326.2733
394,79537.6376
395,81840.3292
396,83889.03269999998
397,83299.3129
398,85017.504
399,86687.87950000001
400,84771.92679999999
401,86805.854
402,87208.88350000001
403,87862.23740000001
404,87721.68339999998
405,87996.30639999997
406,86643.4437
407,90643.54659999999
408,89121.23010000002
409,90027.509
410,88260.23980000001
411,87035.70969999999
412,88793.9042
413,86578.19880000001
414,83280.7208
415,83007.1394
416,83996.02950000002
417,86970.38280000002
418,89631.09049999999
419,86450.3199
420,86793.43719999997
421,86481.28349999999
422,85325.94249999999
423,83642.05320000001
424,83584.7332
425,84528.52220000002
426,88402.7503
427,87912.02939999998
428,88431.3665
429,87693.77029999997
430,88766.69949999999
431,88797.2704
432,89281.75659999998
433,90754.1333
434,92317.0757
435,90422.46380000001
436,89935.7761
437,88283.0165
438,86890.4065
439,86530.18329999999
440,86281.6836
441,86186.00970000001
442,86791.40149999999
443,87358.5902
444,88294.79079999999
445,87085.07400000002
446,87650.4641
447,85206.29079999999
448,83659.8632
449,83219.487
450,82675.8206
451,85233.1993
452,88467.41089999999
453,87967.55970000001
454,87763.53659999999
455,87948.10670000002
456,86942.64270000001
457,88407.90640000002
458,89794.77649999999
459,88047.45310000001
460,86994.3765
461,86064.0957
462,84786.17990000002
463,83242.32079999999
464,83159.18620000003
465,82757.71419999999
466,83205.6235
467,84353.39039999999
468,84871.40809999997
469,87230.38330000002
470,88251.61309999999
471,90050.25089999998
472,90322.67389999998
473,88505.71950000002
474,87321.70670000001
475,87746.99330000002
476,88605.7168
477,88635.4803
478,89011.7056
479,89859.723
480,86759.12690000002
481,87824.0265
482,88004.01389999999
483,85302.2196
484,83625.18770000001
485,83643.5833
486,83795.52050000001
487,84280.3907
488,84619.84039999997
489,83280.2134
490,83620.8734
491,79280.37319999997
492,78190.77690000001
493,78404.75299699999
494,76958.20623200001
495,80342.42079999998
496,79815.4
497,79847.4
498,79879.4
499,79911.4
500,79943.4
501,79975.4
502,80007.4
503,80039.4
504,79303.4
505,79335.4
506,79367.4
507,79399.4
508,79431.4
509,79463.4
510,79495.4
511,79527.4
512,79654.40340000001
513,79452.2862
514,77175.16609999999
515,76987.6434
516,78687.46289999998
517,78404.0563
518,76922.23679999998
519,75807.7432
520,75466.07450000002
521,78362.3994
522,78120.281
523,79282.86
524,83478.39670000001
525,83763.28570000001
526,86367.56359999998
527,87634.01959999999
528,86519.58379999998
529,87932.2302
530,88290.0138
531,82911.2226
532,81233.23670000001
533,80323.30670000002
534,76447.08009999998
535,75650.4863
536,77031.30679999999
537,76368.80289999998
538,79457.66650000002
539,78296.2764
540,77626.1474
541,78760.1993
542,81765.0231
543,80541.8871
544,81431.666
545,80570.46759999997
546,80592.96999999999
547,81036.1502
548,84992.80419999998
549,88681.20340000001
550,89546.37979999998
551,86786.6169
552,86008.89089999998
553,91465.8707
554,93382.64729999997
555,89737.5293
556,87603.81299999998
557,87381.60340000004
558,86940.38260000001
559,86279.0152
560,85786.09669999997
561,84986.38749999998
562,86827.6667
563,87995.23409999999
564,89801.57030000002
565,88082.37029999998
566,86660.9031
567,85186.71070000001
568,81975.4339
569,85232.19229999998
570,94164.40390000002
571,94278.64700000003
572,92505.7298
573,93995.48670000001
574,93685.09389999999
575,93806.70700000001
576,96597.63710000002
577,96163.23630000002
578,96241.3633
579,94824.297
580,92920.0032
581,91872.0243
582,90944.7873
583,90782.4538
584,90985.20959999999
585,91484.49039999998
586,92805.3613
587,93264.41610000002
588,95559.59319999999
589,88093.77429999999
590,84532.91600000001
591,86395.42710000003
592,85978.1133
593,86960.65999999999
594,88500.5409
595,88243.6435
596,87855.14979999998
597,87247.097
598,86276.9594
599,89872.62890000003
600,88996.45330000001
601,89789.28610000001
602,88865.8636
603,88242.5196
604,86485.84679999998
605,86758.6735
606,85271.93930000001
607,84418.95270000001
608,83150.78989999999
609,83777.15640000002
610,83166.53689999999
611,83602.67659999999
612,84317.70279999997
613,87251.0633
614,88667.9259
615,88803.107
616,89894.80949999999
617,90570.3462
618,91004.1781
619,91477.82710000001
620,91007.85979999999
621,88664.48199999999
622,90544.4465
623,88762.32579999999
624,89094.71980000002
625,89035.86080000001
626,91085.81049999999
627,91075.42270000001
628,90307.0996
629,90041.25649999999
630,89300.0294
631,90564.65230000002
632,89183.8862
633,90090.16659999998
634,89785.8968
635,91762.88019999999
636,92169.86980000001
637,90404.9459
638,89741.23380000002
639,90869.53010000003
640,91018.20240000001
641,89744.1733
642,91121.98710000001
643,93314.64260000002
644,94232.5829
645,90015.1377
646,91233.15650000003
647,93148.13680000001
648,92369.38339999999
649,91645.90399999998
650,93810.2161
651,93250.19660000001
652,93632.32719999999
653,93570.49670000003
654,93701.60559999998
655,93955.22109999998
656,92353.061
657,91942.38420000001
658,91062.3744
659,91107.6108
660,90895.1167
661,90720.7551
662,89248.69089999997
663,88943.13679999998
664,88326.83360000003
665,91648.56739999999
666,91982.70020000002
667,92953.84409999999
668,91840.12010000003
669,92697.66979999999
670,93784.20330000001
671,94865.2742
672,93387.35989999997
673,95603.59290000002
674,96174.00749999999
675,95892.87210000001
676,94336.10629999998
677,92758.73270000004
678,91729.52679999999
679,88988.0958
680,87152.5897
681,87312.2633
682,89931.9762
683,92262.05979999997
684,92029.5826
685,93133.45959999999
686,92442.90690000003
687,92963.1601
688,91928.56460000001
689,92056.59319999999
690,93186.57660000001
691,92393.35639999998
692,95030.8166
693,96268.0132
694,96898.9633
695,97400.8085
696,97431.10680000001
697,96219.8497
698,97988.42129999999
699,94230.48049999999
700,92869.294
701,92721.99290000003
702,91874.94590000002
703,90419.93030000004
704,92194.8799
705,92705.82
706,91650.17680000002
707,95384.04329999998
708,96643.3854
709,97176.03289999996
710,95068.7164
711,92462.65980000001
712,95529.99959999998
713,92597.13369999999
714,93873.16029999999
715,90057.68929999998
716,87162.4064
717,88379.17980000001
718,85896.8365
719,79660.08309999999
720,76749.12659999999
721,75918.90939999999
722,75744.5864
723,74487.89969999998
724,74475.6691
725,72935.25360000001
726,72459.78689999999
727,71209.73719999999
728,70394.1504
729,70530.9433
730,72432.35630000001
731,77262.62939999999
732,83117.81039999999
733,82417.9415
734,80045.5279
735,80422.11969999998
736,77178.3566
737,76254.27279999998
738,76700.2407
739,75222.3803
740,76829.2138
741,77091.2239
742,74992.08380000001
743,75303.6662
744,73910.8397
745,78007.55989999998
746,78873.4334
747,78692.0331
748,78139.12710000001
749,77944.24960000002
750,77812.86399999999
751,77582.6971
752,77222.51109999999
753,77219.8237
754,75932.70460000001
755,76705.4436
756,80550.7755
757,81946.3004
758,82323.18660000002
759,84776.3236
760,84780.3095
761,84061.85349999998
762,83831.1737
763,84519.24930000001
764,83113.40350000001
765,81354.20080000002
766,79308.77590000001
767,76897.12719999999
768,74357.91650000002
769,74164.67269999998
770,74337.98680000001
771,73000.7805
772,71218.29370000001
773,70742.0372
774,70453.93669999999
775,70347.74030000002
776,69928.44679999999
777,69868.30380000001
778,69502.2502
779,68906.2598
780,68826.68340000001
781,67120.90310000001
782,67718.56079999999
783,67894.6966
784,68869.46979999999
785,69668.90370000001
786,70288.55949999999
787,70939.16380000001
788,70724.46949999999
789,71123.1369
790,72103.9595
791,72705.9075
792,72311.0364
793,72373.94600000003
794,70570.08259999998
795,70094.5058
796,68213.34969999999
797,67280.8865
798,67191.74
799,67122.17319999998
800,67813.2932
801,68977.81679999999
802,69943.2027
803,70813.0722
804,69223.4532
805,70237.1673
806,82202.81039999999
807,91211.6905
808,91592.60990000001
809,93309.2245
810,76084.68029999999
811,74931.7969
812,75690.45569999999
813,74842.5671
814,75560.78319999999
815,76816.45919999998
816,75052.4567
817,71507.03679999999
818,73951.63029999999
819,75230.1864
820,73568.1871
821,73891.5198
822,73178.78409999999
823,72640.3962
824,70712.673
825,68246.35329999999
826,71619.38310000002
827,75434.7967
828,75341.94640000002
829,76858.17689999998
830,78097.4991
831,77870.5602
832,79119.12280000001
833,79071.2639
834,85235.03020000002
835,86299.93139999999
836,84069.15629999999
837,83879.68999999999
838,82848.24739999996
839,81388.4636
840,79394.04649999998
841,78087.3104
842,80345.9661
843,81046.54680000001
844,79367.3135
845,79017.63019999997
846,78457.2065
847,78003.70370000001
848,76843.0099
849,75894.90970000002
850,75394.0332
851,76880.96740000001
852,79025.8835
853,79828.8729
854,79777.6402
855,80622.97999999998
856,78807.01620000001
857,76416.81649999999
858,78830.28040000002
859,79563.31009999999
860,78574.9868
861,76930.47649999999
862,76904.83699999998
863,76298.13959999998
864,73866.98620000001
865,72941.4366
866,72776.09629999999
867,72306.82569999999
868,73044.25670000001
869,72998.9065
870,72741.97300000001
871,72678.38349999998
872,72198.37030000002
873,72303.7031
874,73012.90009999998
875,73800.89300000001
876,75038.71380000001
877,75591.63639999999
878,75459.04030000001
879,75029.47989999999
880,76914.65
881,78129.11330000003
882,77989.8439
883,77480.78980000003
884,76623.58730000001
885,76141.0067
886,78088.73089999998
887,78741.9745
888,77989.75
889,76867.0443
890,75006.4563
891,74048.8968
892,73701.17640000001
893,73577.21350000001
894,73366.14850000001
895,72907.47650000002
896,72324.94340000002
897,71879.5431
898,73738.86409999999
899,73533.44780000001
900,71179.8398
901,72777.5802
902,74278.73999999999
903,72606.73
904,74368.2232
905,74526.76020000002
906,76773.64689999999
907,76452.6196
908,75512.95370000001
909,76392.09940000002
910,77381.2473
911,77595.77389999999
912,79438.5239
913,74708.07289999998
914,74307.9933
915,75993.7694
916,77485.067
917,75988.78069999999
918,75285.7965
919,75440.22630000001
920,75901.07990000001
921,76195.2107
922,75989.46269999999
923,78180.1024
924,79725.2642
925,79441.3434
926,80756.01600000002
927,82397.75570000002
928,82467.1565
929,83109.2529
930,82022.48099999999
931,82223.73389999999
932,75961.38680000002
933,75128.0533
934,74407.13949999999
935,77842.5763
936,78975.6071
937,79186.9801
938,79411.51699999999
939,76646.2531
940,79921.82350000001
941,80064.05880000001
942,79879.39589999999
943,79998.69980000002
944,80271.04970000002
945,80042.6444
946,80205.61779999999
947,80780.65019999999
948,81195.30260000001
949,80919.85329999997
950,80130.26289999999
951,78089.05709999998
952,78592.33370000002
953,82475.54279999998
954,83520.56929999999
955,83517.37079999999
956,82891.9369
957,76455.27730000002
958,76704.2701
959,79011.80360000001
960,78168.8294
961,77433.39640000001
962,77677.29280000001
963,79002.04960000001
964,75846.80000000003
965,73877.219
966,74447.5595
967,74006.56019999999
968,74046.3329
969,73967.49060000002
970,74493.867
971,70200.4471
972,65047.11979999999
973,67184.11730000001
974,70850.07740000001
975,70993.57969999999
976,75068.3366
977,77895.9502
978,76629.6925
979,75159.79010000001
980,72548.7097
981,72777.05949999999
982,73771.41349999998
983,75416.23269999998
984,74450.8667
985,75391.8343
986,74062.18000000001
987,73505.9015
988,72141.7068
989,72685.18570000002
990,74231.4832
991,73854.86970000001
992,73612.3471
993,73188.9828
994,74252.37989999999
995,76112.0304
996,76491.96049999999
997,72322.8762
998,75228.69970000001
999,74020.96310000001
1000,74480.97320000001
1001,71970.3604
1002,73185.40979999998
1003,72549.233
1004,70757.06689999999
1005,68733.57050000002
1006,69996.0301
1007,72525.06709999997
1008,72739.4504
1009,73762.03699999998
1010,74720.85979999999
1011,74132.2774
1012,73419.9068
1013,73866.5503
1014,72209.71969999999
1015,70884.42949999998
1016,69810.784
1017,69691.02010000001
1018,70925.72309999999
1019,70102.21629999999
1020,74202.93269999999
1021,72725.037
1022,74202.25319999999
1023,78235.53940000001
1024,78393.9666
1025,78735.4704
1026,78861.9962
1027,80268.62999999999
1028,81967.973
1029,81633.9676
1030,80327.0471
1031,80188.6572
1032,77735.43049999999
1033,81006.1968
1034,78016.9733
1035,79227.73349999999
1036,79742.6329
