HourOfYear,electricity_demand
600,432.74625531169
601,429.40762971169
602,432.74625531169
603,432.74625531169
604,432.74625531169
605,432.74625531169
606,432.74625531169
607,463.4904587623935
608,547.0603180871616
609,571.1871424248817
610,595.4703892871617
611,618.8407684871618
612,595.4703892871617
613,445.0148219763217
614,572.1000100871618
615,618.8407684871618
616,595.4703892871617
617,592.1317636871618
618,547.0603180871616
619,465.7162091623935
620,451.1456355787698
621,448.91988517876985
622,448.91988517876985
623,432.74625531169
624,432.74625531169
625,429.40762971169
626,432.74625531169
627,432.74625531169
628,432.74625531169
629,432.74625531169
630,432.74625531169
631,463.4904587623935
632,547.0603180871616
633,571.1871424248817
634,595.4703892871617
635,618.8407684871618
636,595.4703892871617
637,445.0148219763217
638,572.1000100871618
639,618.8407684871618
640,595.4703892871617
641,592.1317636871618
642,547.0603180871616
643,465.7162091623935
644,451.1456355787698
645,448.91988517876985
646,448.91988517876985
647,432.74625531169
648,432.74625531169
649,429.40762971169
650,432.74625531169
651,432.74625531169
652,432.74625531169
653,432.74625531169
654,432.74625531169
655,463.4904587623935
656,547.0603180871616
657,571.1871424248817
658,595.4703892871617
659,618.8407684871618
660,595.4703892871617
661,445.0148219763217
662,572.1000100871618
663,618.8407684871618
664,595.4703892871617
665,592.1317636871618
666,547.0603180871616
667,465.7162091623935
668,451.1456355787698
669,448.91988517876985
670,448.91988517876985
671,432.74625531169
672,432.74625531169
673,429.40762971169
674,432.74625531169
675,432.74625531169
676,432.74625531169
677,432.74625531169
678,432.74625531169
679,463.4904587623935
680,547.0603180871616
681,571.1871424248817
682,595.4703892871617
683,618.8407684871618
684,595.4703892871617
685,445.0148219763217
686,572.1000100871618
687,618.8407684871618
688,595.4703892871617
689,592.1317636871618
690,547.0603180871616
691,465.7162091623935
692,451.1456355787698
693,448.91988517876985
694,448.91988517876985
695,432.74625531169
696,432.74625531169
697,417.05471499169
698,417.05471499169
699,417.05471499169
700,417.05471499169
701,417.05471499169
702,417.05471499169
703,447.7989184423935
704,450.0246688423935
705,450.0246688423935
706,450.0246688423935
707,450.0246688423935
708,450.0246688423935
709,450.0246688423935
710,450.0246688423935
711,450.0246688423935
712,450.0246688423935
713,450.0246688423935
714,450.0246688423935
715,450.0246688423935
716,435.4540952587698
717,433.22834485876984
718,433.22834485876984
719,417.05471499169
720,417.05471499169
721,417.05471499169
722,417.05471499169
723,417.05471499169
724,417.05471499169
725,417.05471499169
726,417.05471499169
727,447.7989184423935
728,450.0246688423935
729,450.0246688423935
730,450.0246688423935
731,450.0246688423935
732,450.0246688423935
733,450.0246688423935
734,450.0246688423935
735,450.0246688423935
736,450.0246688423935
737,450.0246688423935
738,450.0246688423935
739,450.0246688423935
740,435.4540952587698
741,433.22834485876984
742,433.22834485876984
743,417.05471499169
744,417.05471499169
745,430.74307995169
746,201.52519039569
747,322.37428133167
748,328.02354792933
749,338.60912267427
750,382.48064847642996
751,464.8259090023935
752,557.76215608722
753,169.02925688503
754,585.55346969432
755,249.01319115361008
756,505.85521241205004
757,441.14363970682996
758,169.01869899652
759,250.6528776832601
760,441.09811644872
761,262.10545772732
762,144.23440479342
763,467.0516594023935
764,452.4810858187698
765,88.2891213125998
766,351.3747822618898
767,434.08170555169
768,269.17166740294
769,417.05471499169
770,417.05471499169
771,417.05471499169
772,417.05471499169
773,417.05471499169
774,417.05471499169
775,447.7989184423935
776,450.0246688423935
777,450.0246688423935
778,450.0246688423935
779,450.0246688423935
780,450.0246688423935
781,450.0246688423935
782,450.0246688423935
783,450.0246688423935
784,450.0246688423935
785,450.0246688423935
786,450.0246688423935
787,450.0246688423935
788,435.4540952587698
789,433.22834485876984
790,433.22834485876984
791,417.05471499169
792,417.05471499169
793,417.05471499169
794,417.05471499169
795,417.05471499169
796,417.05471499169
797,417.05471499169
798,417.05471499169
799,447.7989184423935
800,450.0246688423935
801,450.0246688423935
802,450.0246688423935
803,450.0246688423935
804,450.0246688423935
805,450.0246688423935
806,450.0246688423935
807,450.0246688423935
808,450.0246688423935
809,450.0246688423935
810,450.0246688423935
811,450.0246688423935
812,435.4540952587698
813,433.22834485876984
814,433.22834485876984
815,417.05471499169
816,417.05471499169
817,429.40762971169
818,432.74625531169
819,432.74625531169
820,432.74625531169
821,432.74625531169
822,432.74625531169
823,463.4904587623935
824,547.0603180871616
825,571.1871424248817
826,595.4703892871617
827,618.8407684871618
828,595.4703892871617
829,445.0148219763217
830,572.1000100871618
831,618.8407684871618
832,595.4703892871617
833,592.1317636871618
834,547.0603180871616
835,465.7162091623935
836,451.1456355787698
837,448.91988517876985
838,448.91988517876985
839,432.74625531169
840,432.74625531169
841,417.05471499169
842,417.05471499169
843,417.05471499169
844,417.05471499169
845,417.05471499169
846,417.05471499169
847,447.7989184423935
848,450.0246688423935
849,450.0246688423935
850,450.0246688423935
851,450.0246688423935
852,450.0246688423935
853,450.0246688423935
854,450.0246688423935
855,450.0246688423935
856,450.0246688423935
857,450.0246688423935
858,450.0246688423935
859,450.0246688423935
860,435.4540952587698
861,433.22834485876984
862,433.22834485876984
863,417.05471499169
864,417.05471499169
865,430.74307995169
866,201.52519039569
867,322.37428133167
868,328.02354792933
869,338.60912267427
870,382.48064847642996
871,464.8259090023935
872,557.76215608722
873,169.02925688503
874,585.55346969432
875,249.01319115361008
876,505.85521241205004
