Hour,gwp
1205,271.54900000000004
1206,279.17400000000004
1207,292.029
1208,269.767
1209,275.128
1210,265.574
1211,260.784
1212,254.49400000000003
1213,240.85
1214,240.152
1215,231.174
1216,212.817
1217,210.349
1218,207.237
1219,240.62
1220,253.725
1221,258.895
1222,243.45
1223,251.134
1224,260.527
1225,234.532
1226,229.509
1227,232.928
1228,232.102
1229,237.099
1230,262.98400000000004
1231,273.528
1232,270.278
1233,260.488
1234,271.475
1235,260.367
1236,255.193
1237,228.133
1238,220.404
1239,216.524
1240,223.308
1241,219.432
1242,194.813
1243,240.487
1244,233.692
1245,259.867
1246,276.508
1247,287.778
1248,288.67900000000003
1249,293.488
1250,288.313
1251,295.818
1252,281.289
1253,274.107
1254,293.881
1255,296.129
1256,273.079
1257,257.269
1258,261.215
1259,253.628
1260,234.982
1261,224.584
1262,206.195
1263,212.236
1264,204.593
1265,203.902
1266,203.086
1267,219.549
1268,221.171
1269,222.732
1270,229.205
1271,238.012
1272,244.061
1273,252.169
1274,246.752
1275,245.917
1276,229.68
1277,217.738
1278,234.921
1279,243.318
1280,235.917
1281,248.939
1282,257.138
1283,240.813
1284,231.265
1285,246.378
1286,242.793
1287,230.532
1288,205.887
1289,213.469
1290,214.166
1291,182.201
1292,196.015
1293,220.571
1294,219.669
1295,251.109
1296,283.184
1297,284.737
1298,289.534
1299,275.66700000000003
1300,260.566
1301,245.664
1302,260.067
1303,270.738
1304,269.85200000000003
1305,262.639
1306,252.617
1307,241.324
1308,232.826
1309,221.428
1310,186.543
1311,161.516
1312,175.899
1313,185.84
1314,188.771
1315,204.521
1316,192.952
1317,210.425
1318,213.325
1319,241.47
1320,275.485
1321,270.643
1322,278.841
1323,269.536
1324,249.468
1325,244.765
1326,264.7
1327,276.60400000000004
1328,231.424
1329,247.939
1330,259.349
1331,270.607
1332,255.161
1333,243.317
1334,233.904
1335,219.157
1336,214.341
1337,192.639
1338,196.64
1339,227.765
1340,227.919
1341,227.182
1342,237.844
1343,249.466
1344,258.54400000000004
1345,270.875
1346,253.776
1347,242.834
1348,237.987
1349,232.268
1350,249.342
1351,236.346
1352,244.129
1353,243.31
1354,241.927
1355,241.46400000000003
1356,229.378
1357,212.849
1358,209.547
1359,195.499
1360,187.076
1361,193.833
1362,169.628
1363,209.035
1364,221.545
1365,161.351
1366,184.009
1367,198.529
1368,228.794
1369,231.367
1370,219.811
1371,216.898
1372,195.551
1373,190.362
1374,213.21
1375,206.832
1376,234.028
1377,227.746
1378,218.428
1379,232.425
1380,210.843
1381,210.978
1382,191.83
1383,179.17700000000002
1384,185.136
1385,197.672
1386,220.444
1387,225.754
1388,232.914
1389,240.242
1390,212.374
1391,225.028
1392,221.691
1393,196.367
1394,181.004
1395,179.838
1396,169.21900000000002
1397,167.61900000000003
1398,177.945
1399,209.844
1400,225.052
1401,244.627
1402,218.498
1403,204.703
1404,210.735
1405,182.157
1406,166.12
1407,168.085
1408,174.24400000000003
1409,173.655
1410,164.00099999999998
1411,219.122
1412,219.238
1413,196.834
1414,169.75099999999998
1415,195.653
1416,194.742
1417,182.094
1418,181.256
1419,180.065
1420,163.842
1421,152.69899999999998
1422,169.52700000000002
1423,185.268
1424,226.257
1425,235.772
1426,216.094
1427,231.402
1428,235.361
1429,226.162
1430,197.423
1431,205.628
1432,213.31
1433,197.033
1434,209.62
1435,221.093
1436,219.13
1437,218.277
1438,205.24
1439,233.614
1440,246.943
1441,222.3
1442,213.265
1443,190.55
1444,170.44400000000002
1445,166.46099999999998
1446,175.266
1447,187.411
1448,180.177
1449,198.685
1450,185.62
1451,186.937
1452,170.11
1453,178.58
1454,127.201
1455,135.342
1456,134.17700000000002
1457,140.753
1458,128.58100000000002
1459,153.387
1460,162.05700000000002
1461,150.638
1462,138.773
1463,149.93200000000002
1464,143.82399999999998
1465,133.89600000000002
1466,132.045
1467,131.82399999999998
1468,125.24
1469,125.251
1470,118.344
1471,115.229
1472,115.075
1473,115.749
1474,107.898
1475,100.794
1476,103.66
1477,109.07
1478,103.816
1479,91.164
1480,79.138
1481,74.373
1482,91.684
1483,161.80200000000002
1484,184.779
1485,156.565
1486,126.823
1487,141.053
1488,127.714
1489,120.954
1490,121.674
1491,118.197
1492,118.985
1493,114.53
1494,118.935
1495,129.899
1496,139.857
1497,162.55200000000002
1498,171.947
1499,160.434
1500,172.392
1501,166.46599999999998
1502,152.224
1503,141.481
1504,126.205
1505,128.608
1506,143.421
1507,210.206
1508,214.262
1509,168.84400000000002
1510,154.571
1511,151.536
1512,130.484
1513,117.581
1514,114.194
1515,118.143
1516,121.041
1517,123.826
1518,141.3
