HourOfYear,PeriodOfYear,Domestic_electricity
941,2,0.5564376000000002
942,2,0.5564376000000002
943,2,31.30064105070348
944,2,33.52639145070348
945,2,33.52639145070348
946,2,33.52639145070348
947,2,33.52639145070348
948,2,33.52639145070348
949,2,33.52639145070348
950,2,33.52639145070348
951,2,33.52639145070348
952,2,33.52639145070348
953,2,33.52639145070348
954,2,33.52639145070348
955,2,33.52639145070348
956,2,18.95581786707982
957,2,16.73006746707982
958,2,16.73006746707982
959,2,0.5564376000000002
960,2,0.5564376000000002
961,2,0.5564376000000002
962,2,0.5564376000000002
963,2,0.5564376000000002
964,2,0.5564376000000002
965,2,0.5564376000000002
966,2,0.5564376000000002
967,2,31.30064105070348
968,2,33.52639145070348
969,2,33.52639145070348
970,2,33.52639145070348
971,2,33.52639145070348
972,2,33.52639145070348
973,2,33.52639145070348
974,2,33.52639145070348
975,2,33.52639145070348
976,2,33.52639145070348
977,2,33.52639145070348
978,2,33.52639145070348
979,2,33.52639145070348
980,2,18.95581786707982
981,2,16.73006746707982
982,2,16.73006746707982
983,2,0.5564376000000002
984,2,0.5564376000000002
985,3,10.23845184
986,3,13.57707744
987,3,13.57707744
988,3,13.57707744
989,3,13.57707744
990,3,13.57707744
991,3,44.32128089070348
992,3,109.1583646953549
993,3,129.1901182953549
994,3,147.5525590953549
995,3,165.914999895355
996,3,147.5525590953549
997,3,98.30783149535496
998,3,129.1901182953549
999,3,165.914999895355
1000,3,147.5525590953549
1001,3,144.2139334953549
1002,3,109.1583646953549
1003,3,46.54703129070347
1004,3,31.97645770707982
1005,3,29.75070730707982
1006,3,29.75070730707982
1007,3,13.57707744
1008,3,13.57707744
1009,4,10.23845184
1010,4,13.57707744
1011,4,13.57707744
1012,4,13.57707744
1013,4,13.57707744
1014,4,13.57707744
1015,4,44.32128089070348
1016,4,109.1583646953549
1017,4,129.1901182953549
1018,4,147.5525590953549
1019,4,165.914999895355
1020,4,147.5525590953549
1021,4,98.30783149535496
1022,4,129.1901182953549
1023,4,165.914999895355
1024,4,147.5525590953549
1025,4,144.2139334953549
1026,4,109.1583646953549
