,Load_Profile
199,411.515286875
200,413.65288125
201,418.38690736111107
202,406.0568759722221
203,404.80004687499985
204,406.61467097222226
205,398.9506261805557
206,389.7538876388888
207,400.5636104166667
208,421.9882785416666
209,417.4213395138888
210,407.7806094444444
211,406.42504243055566
212,399.72117791666653
213,403.6566868055556
214,408.51315993055556
215,412.7887492361109
216,409.35838027777777
217,408.41507874999985
218,410.32613125
219,406.1440172222222
220,405.08985368055556
221,401.74565618055544
222,402.6009847222222
223,399.3824396527777
224,411.0655388194443
225,423.9342965277777
226,434.00538319444445
227,1240.0
228,1240.0
229,1240.0
230,1240.0
231,1240.0
232,446.08572284722635
233,399.41261256944443
234,403.1265646527777
235,391.2048845833332
236,386.0055524305555
237,393.8580795138888
238,396.440739236111
239,406.8929005555555
240,411.230623125
241,413.8106019444444
242,412.07645791666675
243,407.19938194444455
244,399.37420979166666
245,398.3647786805555
246,392.07907909722223
247,385.8067300694445
248,380.3206113194444
249,382.9508661805556
250,381.3306102083332
251,374.9424058333333
252,1240.0
253,1240.0
254,1240.0
255,1240.0
256,388.59077930555554
257,385.99643055555555
258,900.0776054166687
259,389.34601173611117
260,390.52039249999996
261,386.37820618055565
262,379.9793180555555
263,380.95905847222224
264,375.7976089583332
265,374.2395572222222
266,373.50515708333336
267,372.0736595138888
268,372.5097624305556
269,370.6952272916666
270,361.0560950694445
271,358.3159533333334
272,358.43996076388885
273,360.2565395138888
274,366.7077322222221
275,367.1245934027778
276,370.13342770833333
277,646.2967138194454
278,372.13551083333317
279,370.7280684722221
280,362.67224875
281,357.6351216666667
282,353.6636896527778
283,361.9218910416665
284,1240.0
285,1240.0
286,1240.0
287,1240.0
288,375.46751083333345
289,376.01038222222223
290,372.20275312499996
291,373.2662640972223
292,373.60843576388874
293,373.1585131944446
294,368.96374374999994
295,361.1934676388889
296,359.1760919444444
297,356.4113510416666
298,349.89411090277775
299,347.4879868055555
300,358.38326076388887
301,388.114125
302,400.32766472222215
303,398.7485838194444
304,392.7179399305554
305,394.2489818750001
306,385.46433527777765
307,901.754284097223
308,1240.0
309,1240.0
310,1240.0
311,1240.0
312,1240.0
313,1240.0
314,1240.0
315,1240.0
316,795.3757513888917
317,362.5897318750001
318,360.5424044444444
319,358.4808256944446
320,351.3753896527777
321,346.8931175694443
322,357.430302638889
323,365.78244159722215
324,377.5660636805555
325,376.0247686805555
326,385.57182611111114
327,381.5164461111112
328,390.60293076388876
329,383.43956729166666
330,386.6695986805556
331,389.42461784722207
332,370.31074256944447
333,377.21199444444443
334,394.00240687499996
335,391.7247950000001
336,397.6196209027776
337,901.2775257638909
338,406.3551061111111
339,414.15683409722214
340,1240.0
341,390.22185319444435
342,376.2644822222222
343,367.29233041666663
344,365.6150404861111
345,368.3005438194444
346,376.1801594444445
347,374.66399541666664
348,366.2682790277778
349,377.41736569444447
350,379.0576659722225
351,383.6546204166667
352,388.7009267361112
353,374.0648187499999
354,372.5664789583334
355,371.6201460416667
356,362.73711833333334
357,1240.0
358,1240.0
359,1240.0
360,1240.0
361,1240.0
362,838.706872708336
363,375.3042640277777
364,370.11598506944455
365,365.9705967361109
366,364.63623583333344
367,352.2416858333333
368,359.7551941666666
369,355.18220305555553
370,363.5682040277777
371,375.9478702777777
372,1240.0
373,1240.0
374,387.5264205555556
375,386.6205505555555
376,388.00026027777784
377,370.86789055555545
378,382.9760909722221
379,387.9887083333333
380,390.8175177083333
381,405.5239372916667
382,402.1244786805555
383,385.77476875
384,1240.0
385,1240.0
386,1240.0
387,1240.0
388,1240.0
389,563.3233843055547
390,405.5200265277777
391,396.1439844444444
392,393.79346999999984
393,390.4749396527777
394,386.64129388888887
395,397.83493361111107
396,407.79390895833325
397,404.9272154861111
398,413.27953333333335
399,421.3994142361111
400,412.0857552777777
401,421.9729013888889
402,423.9320725694444
403,427.10809847222225
404,426.42484986111094
405,427.7598227777776
406,421.183406875
407,440.6283515277777
408,1240.0
409,437.6337243055556
410,429.04283236111115
411,423.090255486111
412,431.6370343055555
413,420.86624416666666
414,404.83683722222224
415,403.5069276388889
416,408.31403229166676
417,422.7726941666667
418,435.7066899305555
419,420.24461062499995
420,421.91254194444434
421,1240.0
422,414.77888715277777
423,406.5933141666667
424,668.576971527775
425,1240.0
426,1240.0
427,1240.0
428,429.8746982638889
429,426.28916118055537
430,431.50478923611104
431,431.6533977777776
432,434.00853902777766
433,441.16592576388894
434,448.76356243055557
435,439.5536434722222
436,437.1878004861111
437,429.15355243055546
438,422.38392048611104
439,420.6328354861111
440,419.4248508333333
441,418.95976937500006
442,421.9026461805555
443,424.65981347222225
444,1240.0
445,1240.0
446,1240.0
447,414.1972469444444
448,406.6798905555555
449,404.53917291666664
450,1240.0
451,689.4614513888947
452,430.04991409722214
453,427.620081875
454,426.62830291666666
455,1240.0
456,422.63784645833334
457,429.7606561111111
458,436.5023857638888
459,428.0084525694445
460,422.88933020833326
461,418.3671318750001
462,412.1550411805556
463,404.65017055555546
464,404.2460440277778
465,402.2944440277776
466,404.4717809027778
467,410.0512033333333
468,1240.0
469,698.9448715972223
470,429.0008970138888
471,437.7442752083332
472,439.06855368055545
473,1240.0
474,1240.0
475,1240.0
476,1240.0
477,430.8669181249999
478,432.695791111111
479,436.8180979166666
480,421.74575576388895
481,426.9223510416667
482,427.79728979166657
483,414.6635675
484,406.5113290972222
485,406.6007521527778
486,407.33933576388887
487,409.6963436805555
488,411.3464463888887
489,404.8343706944444
490,406.49035680555545
491,1240.0
492,1240.0
493,1061.8715978930543
494,374.1023914055556
495,390.55343444444435
496,1240.0
497,388.1470833333332
498,388.30263888888885
499,388.4581944444445
500,1240.0
501,388.7693055555555
502,388.924861111111
503,389.0804166666666
504,385.50263888888884
505,385.6581944444444
506,385.8137499999999
507,385.96930555555554
508,386.1248611111111
509,386.28041666666667
510,386.4359722222221
511,386.5915277777778
512,387.20890541666665
513,386.22639124999995
514,375.1570574305555
515,374.24548875
516,1240.0
517,1240.0
518,949.7863370138931
519,368.5098627777777
520,366.8489732638889
521,380.92833041666665
522,379.75136597222223
523,1240.0
524,1240.0
525,407.18263881944443
526,419.8423230555554
527,425.9987063888888
528,420.5813101388888
529,427.44834125000006
530,429.18756708333325
531,403.0406654166666
532,394.88378951388887
533,390.46051868055565
534,371.61775048611094
535,367.7454195138889
536,374.45774138888885
537,371.2372363194443
538,386.25254548611116
539,380.60689916666655
540,1240.0
541,1240.0
542,1240.0
543,391.5230622916667
544,395.8483763888888
545,391.6619952777777
546,391.7713819444443
547,393.9257301388889
548,1240.0
549,1131.0804341666674
550,435.2949018055555
551,421.87938770833335
552,418.0987752083332
553,444.6257603472222
554,453.9434243749998
555,436.22410076388877
556,425.8518687499999
557,424.77168319444456
558,1240.0
559,419.41187944444437
560,417.01574784722203
561,413.1282725694443
562,422.0789353472221
563,427.75461020833325
564,436.5354111805557
565,428.1781889583331
566,421.26827895833327
567,842.5923764583382
568,1240.0
569,414.32315701388876
570,457.7436300694445
571,458.29897847222225
572,1240.0
573,1240.0
574,1240.0
575,456.00482569444443
576,469.57184701388906
577,467.46017645833336
578,467.83996048611107
579,460.95144374999995
580,451.69446
581,446.60011812499994
582,442.0927160416667
583,441.30359486111115
584,442.2892133333333
585,444.7162727777777
586,1240.0
587,1240.0
588,1240.0
589,1240.0
590,1240.0
591,419.9777706250001
592,417.94916187499996
593,422.7254305555555
594,430.21096270833334
595,428.9621559027778
596,965.2665445833368
597,424.1178326388888
598,419.4018859722222
599,436.88083493055564
600,432.62164798611116
601,436.4756963194445
602,431.9868369444444
603,428.9566925
604,420.41731083333326
605,421.743551736111
606,414.5163715972223
607,410.3699089583334
608,404.2052286805555
609,407.2500658333335
610,404.2817765972222
611,406.4019001388888
612,409.87772194444426
613,424.13711326388886
614,784.6097104166668
615,1240.0
616,1240.0
617,440.27251625
618,442.3814213194445
619,444.68388173611106
620,442.3993184722222
621,1240.0
622,1240.0
623,1240.0
624,433.0993323611112
625,432.8132122222222
626,442.7782454861111
627,1240.0
628,1240.0
629,1240.0
630,1240.0
631,1240.0
632,965.507130416668
633,437.9383098611112
634,436.45922055555553
635,446.06955652777765
636,448.0479781944444
637,439.4684870138889
638,436.24210875000006
