Layer,Unit,Period,Time,Units_demand,Units_supply,Units_curtailment,BAT_E_stored
Electricity,Air_Conditioner_Air_Building4,6,4,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,5,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,6,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,7,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,8,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,9,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,10,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,11,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,12,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,13,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,14,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,15,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,16,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,17,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,18,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,19,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,20,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,21,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,22,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,23,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,24,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,1,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,2,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,3,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,4,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,5,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,6,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,7,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,7,8,0.0,0.0,0.0,
